lucode,LULC_desc,LULC_veg,root_depth,Kc
1,WaterBody,0,10,1
2,ArtificialSurface,0,0,0.29
3,Mangrove,0,3500,1
4,BroadleafForest,1,3500,1
5,DeciduousBroadleafForest,1,3500,1
6,BroadleafForest,1,3500,1
7,BroadleafForest,1,3500,1
8,BroadleafForest,1,3500,1
9,MixedForest,1,3500,1
10,MixedForest,1,3500,1
11,MixedForest,1,3500,1
12,BroadleafForest,1,3500,1
13,InlandForestedWetland,0,3500,1
14,BroadleafForest,1,3500,1
15,InlandMarsh,0,2000,0.5
16,BeachDuneAndSand,0,500,0.2
17,MarineWaterBody,0,10,1
18,MarineWaterBody,0,10,1
19,MarineWaterBody,0,10,1
20,MarineWaterBody,0,10,1
21,StillWaterBody,0,10,1
22,Estuary,0,10,1
23,SparseVegetation,1,1175,0.365
24,CoastalLagoon,0,10,1
25,MoorAndHeathland,1,2000,0.5
26,TransitionalWoodlandScrub,1,2750,0.75
27,TransitionalWoodlandScrub,1,2750,0.75
28,Watercourse,0,10,1
29,AgriculturalVegetation,1,1000,0.65
30,SparseVegetation,1,1175,0.365
