lucode,LULC_name,C_above,C_below,C_soil,C_dead
1,WaterBody,0,0,0,0
2,ArtificialSurface,0,0,0,0
3,Mangrove,126,0,0,0
4,BroadleafForest,131,0,0,0
5,DeciduousBroadleafForest,131,0,0,0
6,BroadleafForest,131,0,0,0
7,BroadleafForest,131,0,0,0
8,BroadleafForest,131,0,0,0
9,MixedForest,87,0,0,0
10,MixedForest,87,0,0,0
11,MixedForest,87,0,0,0
12,BroadleafForest,131,0,0,0
13,InlandForestedWetland,126,0,0,0
14,BroadleafForest,131,0,0,0
15,InlandMarsh,53,0,0,0
16,BeachDuneAndSand,1,0,0,0
17,MarineWaterBody,0,0,0,0
18,MarineWaterBody,0,0,0,0
19,MarineWaterBody,0,0,0,0
20,MarineWaterBody,0,0,0,0
21,StillWaterBody,0,0,0,0
22,Estuary,2.5,0,0,0
23,SparseVegetation,2.5,0,0,0
24,CoastalLagoon,0,0,0,0
25,MoorAndHeathland,53,0,0,0
26,TransitionalWoodlandScrub,72,0,0,0
27,TransitionalWoodlandScrub,72,0,0,0
28,Watercourse,0,0,0,0
29,AgriculturalVegetation,5,0,0,0
30,SparseVegetation,2.5,0,0,0
